# Titles of the Catalog of Hittite Texts (CTH), one line per catalogue entry.
# S. Košak – G.G.W. Müller – S. Görke – Ch.W. Steitler, 2001–2026, Hethitologie-Portal Mainz.
# Licensed CC BY-SA 4.0, https://creativecommons.org/licenses/by-sa/4.0/ – see CTH-TITLES-TERMS.txt.
# Written by `cargo run --locked --release -p aruna --example cth_titles`; do not edit by hand.
# source: https://hethport.net/CTH/index.php?lang=EN
# fetched: 2026-09-22 04:54:05 UTC
# sha256: 31310a4e8dcd81140fa33f3a89bb820d05d48ca3c591c5fd4e74ef453ff2db86
# entries: 837
CTH 350	title	Fragments of myths referring to Ištar
CTH 351	title	Fragments of myths referring to Ea
CTH 352	title	Fragments of myths referring to Ḫuranu
CTH 353	title	Fragments of myths referring to the daughter of the Pleiades (<sup>D</sup>IMIN.IMIN.BI)
CTH 354	unassigned	
CTH 355	unassigned	
CTH 356	unassigned	
CTH 357	unassigned	
CTH 358	unassigned	
CTH 359	unassigned	
CTH 360	title	Tale of Appu and his sons
CTH 361	title	Tale of the hunter Kešši and his beautiful wife (.I Hittite, .II Hurrian, .III Akkadian)
CTH 362	title	Heroic deeds of Gurparanzaḫ
CTH 363	title	Tale of the Sun-god, the cow and the fisherman
CTH 364	title	Song of Silver
CTH 365	title	Ritual and myth concerning the Euphrates (Māla) River
CTH 366	unassigned	
CTH 367	unassigned	
CTH 368	unassigned	
CTH 369	unassigned	
CTH 370	title	Fragments of myths (.I Hittite, .II Hurrian)
CTH 371	title	Prayer to the Sun-goddess of the earth
CTH 372	title	Hymn and prayer of a mortal to the Sun-god (Šamaš)
CTH 373	title	Prayer of Kantuzzili to the Sun-god
CTH 374	title	Prayer of a king to the Sun-god
CTH 375	title	Prayer of Arnuwanda I and Ašmunikkal to the Sun-goddess of Arinna
CTH 376	title	Hymns and prayers to the Sun-goddess of Arinna
CTH 377	title	Hymn and prayer of Muršili II to Telipinu
CTH 378	title	Plague prayers of Muršili II
CTH 379	unassigned	
CTH 380	title	Prayer to Lelwani for the recovery of Gaššuliyawiya
CTH 381	title	Prayer of Muwatalli II to the assembly of gods
CTH 382	title	Prayer of Muwatalli II to the Storm-god of Kummanni
CTH 383	title	Prayer of Ḫattušili III and Puduḫepa to the Sun-goddess of Arinna
CTH 384	title	Prayer of Puduḫepa to the Sun-goddess of Arinna
CTH 385	title	Fragments of Prayers to the Sun-goddess of Arinna
CTH 386	title	Fragments of Prayers to the Storm-god of Nerik
CTH 387	title	Prayer of Muršili III
CTH 388	unassigned	
CTH 389	title	Fragments of prayers
CTH 390	title	Rituals and incantations of Ayatarša, Wattiti and Šuššumaniga
CTH 391	title	Ritual of Ambazzi
CTH 392	title	Ritual of Anna of Kaplawiya against an unproductive vineyard
CTH 393	title	Ritual of Anniwiyani for the <sup>D</sup>KAL-deities
CTH 394	title	Ritual of Ašḫella of Ḫapalla against a plague in the army
CTH 395	title	Ritual of Ḫantitaššu of Ḫurma
CTH 396	title	Ritual of Ḫatiya of Kanzapida against the demonic Wišuriyant
CTH 397	title	Ritual of Ḫebatarakki of Zuḫaruwa
CTH 398	title	Ritual of Huwarlu, the augur
CTH 399	title	Ritual of Yarri of Lallupiya against impurity
CTH 400	title	Ritual of Iriya for the purification of a town
CTH 401	title	Purification rituals
CTH 402	title	Ritual of Alli of Arzawa
CTH 403	title	Rituals of Mallidunna of Durmitta
CTH 404	title	Rituals of Maštigga of Kizzuwatna
CTH 405	unassigned	
CTH 406	title	Ritual of Paškuwatti of Arzawa against effeminacy
CTH 407	title	Ritual of Puliša against foreign plague
CTH 408	title	Ritual of Pupuwanni against witchcraft
CTH 409	title	Rituals of Tunnawiya
CTH 410	title	Ritual of Uḫḫamuwa of Arzawa against plague
CTH 411	title	Ritual of Uruwanda against the results of slander
CTH 412	title	Ritual and myth of Zuwi
CTH 413	title	Foundation ritual for a temple or house
CTH 414	title	Foundation ritual for a palace
CTH 415	title	Foundation ritual for a temple
CTH 416	title	Four old Hittite rituals for the royal couple
CTH 417	title	Rituals against the enemies of the king
CTH 418	title	Ritual against a foreign enemy of the royal couple
CTH 419	title	Substitution rituals for the king
CTH 420	title	Fragments of substitution rituals
CTH 421	title	Great substitution ritual
CTH 422	title	Incantation at the enemy border
CTH 423	title	Evocation of gods of an enemy city
CTH 424	title	Rituals against pest
CTH 425	title	Rituals against pest in the army
CTH 426	title	Rituals for an army defeated in battle
CTH 427	title	Military oaths
CTH 428	title	Fragments of military oaths
CTH 429	title	Ritual of Ambazzi against slander
CTH 430	title	Birth rituals
CTH 431	title	Ritual of Bappi
CTH 432	title	Ritual against depression
CTH 433	title	Ritual for the protective deity of the hunting bag (<sup>D</sup>KAL <sup>KUŠ</sup>kuršaš)
CTH 434	title	Ritual for the fate goddesses (DINGIR.MAḪ, Gulšeš)
CTH 435	title	Rituals and invocations of the Sun-god
CTH 436	title	Ritual of the sea
CTH 437	title	Ritual referring to the god Agni
